1,2590,56,2,212,-6,390,220,235,151,6225,1,1
0,2804,139,9,268,65,3180,234,238,135,6121,1,1
0,2785,155,18,242,118,3090,238,238,122,6211,1,1
1,2595,45,2,153,-1,391,220,234,150,6172,1,1
0,2579,132,6,300,-15,67,230,237,140,6031,1,1
1,2606,45,7,270,5,633,222,225,138,6256,1,1
1,2605,49,4,234,7,573,222,230,144,6228,1,1
1,2617,45,9,240,56,666,223,221,133,6244,1,1
1,2612,59,10,247,11,636,228,219,124,6230,1,1
1,2612,201,4,180,51,735,218,243,161,6222,1,1
0,2886,151,11,371,26,5253,234,240,136,4051,1,1
0,2742,134,22,150,69,3215,248,224,92,6091,1,1
1,2609,214,7,150,46,771,213,247,170,6211,1,1
1,2503,157,4,67,4,674,224,240,151,5600,1,1
1,2495,51,7,42,2,752,224,225,137,5576,1,1
1,2610,259,1,120,-1,607,216,239,161,6096,1,1
1,2517,72,7,85,6,595,228,227,133,5607,1,1
1,2503,38,5,85,10,741,220,228,144,5555,1,1
1,2501,71,9,60,8,767,230,223,126,5547,1,1
0,2880,209,17,216,30,4986,206,253,179,4323,1,1
1,2768,114,23,192,82,3339,252,209,71,5972,1,1
1,2507,22,9,120,14,732,215,221,143,5534,1,1
1,2489,163,10,30,-4,849,230,243,145,5486,1,1
0,2962,148,16,323,23,5916,240,236,120,3395,1,1
0,2811,135,1,212,30,3670,220,238,154,5643,1,1
1,2739,117,24,127,53,3281,253,210,71,6033,1,1
1,2703,122,30,67,27,3191,254,201,52,6123,1,1
1,2522,105,7,120,1,595,233,231,130,5569,1,1
1,2519,102,6,124,4,616,230,233,137,5559,1,1
1,2516,23,6,150,4,658,216,227,147,5541,1,1
1,2515,41,9,162,4,680,221,220,133,5532,1,1
0,2900,45,19,242,20,5199,221,195,100,4115,1,1
1,2709,125,28,67,23,3224,253,207,61,6094,1,1
1,2511,92,7,182,18,722,231,229,131,5494,1,1
1,2749,98,30,124,53,3316,252,183,36,6005,1,1
1,2533,71,9,150,-3,577,230,223,126,5552,1,1
1,2703,330,27,30,17,3141,146,197,184,6186,1,1
0,2678,128,5,95,23,1660,229,236,141,6546,1,1
1,2529,68,8,210,-5,666,228,225,130,5484,1,1
1,2524,94,7,212,-4,684,232,229,130,5474,1,1
1,2498,66,6,95,7,900,227,227,135,5357,1,1
1,2489,100,7,85,13,810,232,231,131,5334,1,1
1,2713,117,30,60,17,3297,254,198,48,6039,1,1
1,2739,323,25,85,43,3118,149,205,192,6219,1,1
1,2510,79,14,192,19,891,237,215,106,5325,1,1
1,2502,81,7,175,11,912,230,227,129,5316,1,1
1,2722,315,24,30,19,3216,148,212,200,6132,1,1
1,2500,74,11,190,9,930,233,219,116,5279,1,1
1,2486,68,5,180,-4,870,225,230,139,5262,1,1
1,2489,11,4,175,13,840,216,232,153,5254,1,1
1,2489,42,6,162,13,810,221,227,141,5247,1,1
1,2490,75,5,134,17,810,227,230,137,5218,1,1
0,2952,107,11,42,7,5845,239,226,116,3509,1,1
0,2705,90,8,134,22,2023,232,228,129,6615,1,1
1,2507,40,7,153,10,930,221,224,138,5221,1,1
1,2500,49,14,150,27,870,225,210,116,5205,1,1
1,2493,63,10,127,20,840,229,221,124,5197,1,1
1,2509,59,7,134,10,900,226,226,134,5184,1,1
1,2919,13,13,90,6,5321,207,214,142,4060,1,1
0,2740,54,6,218,42,2287,224,227,138,6686,1,1
0,2640,80,8,180,-2,1092,231,225,127,5866,1,1
0,2843,166,12,242,53,4434,230,244,144,4956,1,1
0,3008,45,14,277,10,6371,223,208,116,3036,1,1
0,2893,114,16,108,30,5066,245,223,102,4340,1,1
